Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,22/3/2020,26.8,12.8,24,26.8,27.3,33.8,23.6,13,53.6,1.4439,103.7854
North,Admiralty,23/3/2020,19.4,9,12.8,18,26.5,30.4,24,11.9,32.8,1.4439,103.7854
North,Admiralty,24/3/2020,0.2,0.2,0.2,0.2,28.2,33.6,24.7,17.3,47.5,1.4439,103.7854
North,Admiralty,25/3/2020,0,0,0,0,28.4,32,25.8,14.4,38.2,1.4439,103.7854
North,Admiralty,26/3/2020,0,0,0,0,29,33.6,26,17.6,39.2,1.4439,103.7854
North,Admiralty,27/3/2020,30.6,23,28.8,28.8,28.1,34.6,23.8,14.8,44.3,1.4439,103.7854
North,Admiralty,28/3/2020,14.2,10.6,14,14,28.8,34.9,25.8,14,36.4,1.4439,103.7854
North,Admiralty,29/3/2020,0,0,0,0,28.9,33.9,26.3,18.7,37.8,1.4439,103.7854
North,Admiralty,30/3/2020,0.2,0.2,0.2,0.2,28.9,34.8,25.9,15.1,35.6,1.4439,103.7854
North,Admiralty,31/3/2020,0,0,0,0,29.4,35,26.6,16.2,39.6,1.4439,103.7854
North,Admiralty,1/4/2020,7,6.2,6.8,7,26.7,30.3,25.2,20.9,58.7,1.4439,103.7854
North,Admiralty,2/4/2020,0,0,0,0,27.1,31.4,24.4,20.2,49.7,1.4439,103.7854
North,Admiralty,3/4/2020,0.6,0.6,0.6,0.6,28.3,33.1,25.8,18.4,41.4,1.4439,103.7854
North,Admiralty,4/4/2020,0,0,0,0,29.2,33.8,26.4,16.1,40.7,1.4439,103.7854
North,Admiralty,5/4/2020,0.2,0.2,0.2,0.2,27.8,30.9,26.1,13,29.8,1.4439,103.7854
North,Admiralty,6/4/2020,13.8,9.8,10.8,11,28.5,34,24.1,8.4,51.5,1.4439,103.7854
North,Admiralty,7/4/2020,0.2,0.2,0.2,0.2,28.6,32.8,25.1,11,40,1.4439,103.7854
North,Admiralty,8/4/2020,1,1,1,1,27.6,29.6,24.1,9.9,59.4,1.4439,103.7854
North,Admiralty,9/4/2020,5,3.8,3.8,3.8,27,31.6,25,10.3,31.3,1.4439,103.7854
North,Admiralty,10/4/2020,0,0,0,0,28.7,31.2,27,8.4,18.7,1.4439,103.7854
North,Admiralty,11/4/2020,18.2,8.4,10.6,12.6,25.1,26.9,23.3,12,48.2,1.4439,103.7854
North,Admiralty,12/4/2020,4.2,3.6,3.6,4.2,26.4,31.1,24.6,18.8,46.5,1.4439,103.7854
North,Admiralty,13/4/2020,27.6,22.2,27.4,27.6,28.2,32.7,22.4,14.2,51.5,1.4439,103.7854
North,Admiralty,14/4/2020,0,0,0,0,29.2,33.7,26.3,19,44.6,1.4439,103.7854
North,Admiralty,15/4/2020,0,0,0,0,29.3,33,26.2,18.1,45.4,1.4439,103.7854
North,Admiralty,16/4/2020,0,0,0,0,29.5,34.4,26.4,18.5,41.9,1.4439,103.7854
North,Admiralty,17/4/2020,0,0,0,0,29.5,34.3,26.6,15.7,37,1.4439,103.7854
North,Admiralty,18/4/2020,0,0,0,0,29.3,34.4,26.2,16.4,43.5,1.4439,103.7854
North,Admiralty,19/4/2020,0,0,0,0,30.1,34.7,27.6,16.4,36.7,1.4439,103.7854
North,Admiralty,20/4/2020,0,0,0,0,30,34.5,27.2,17.9,37,1.4439,103.7854
North,Admiralty,21/4/2020,63.2,30,51.8,61.8,28.4,32.9,23.3,14.1,46.1,1.4439,103.7854
North,Admiralty,22/4/2020,1,0.8,1,1.2,29.1,34.9,26.9,15.1,45.7,1.4439,103.7854
North,Admiralty,23/4/2020,12.6,6.8,6.8,6.8,27.7,34.2,25.5,11.5,41.9,1.4439,103.7854
